section,code,question,help,condition,answer_format,answer_file,de,nl,uk,us,zaf,nzl,aus,can,world,country_specific,other,random,mandatory,public,trans_de-informal,trans_fr
1,time3can,"On average, what percentage of your time is spent on management",,,LIKERT,likert_time_10,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,Wieviel Zeit verbringst Du im Durchschnitt monatlich mit Management?,Quel pourcentage de votre temps consacrez-vous en moyenne ÌÊ la gestion?
1,time4can,"On average, what percentage of your time is spent on teaching",,,LIKERT,likert_time_10,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,Wieviel Zeit verbringst Du im Durchschnitt monatlich mit Lehre?,Quel pourcentage de votre temps consacrez-vous en moyenne ÌÊ l‰Ûªenseignement?
1,time5can,"On average, what percentage of your time is spent on other activities",,,LIKERT,likert_time_10,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,Wieviel Zeit verbringst Du im Durchschnitt monatlich mit anderen AktivitÌ_ten?,Quel pourcentage de votre temps consacrez-vous en moyenne ÌÊ d‰Ûªautres activitÌ©s?
1,timeLike6zaf,"In an average month, how much time would you like to spend on software development?",,,LIKERT,likert_time_10,Y,,Y,Y,Y,Y,Y,,Y,,,,,,Wieviel Zeit wÌ_rdest Du gerne im Durchschnitt mit der Entwicklung von Software verbringen?,
1,timeLike7zaf,"In an average month, how much time would you like to spend on research",,,LIKERT,likert_time_10,Y,,Y,Y,Y,Y,Y,,Y,,,,,,Wieviel Zeit wÌ_rdest Du gerne im Durchschnitt mit Forschung verbringen?,
1,timeLike8zaf,"In an average month, how much time would you like to spend on management",,,LIKERT,likert_time_10,Y,,Y,Y,Y,Y,Y,,Y,,,,,,Wieviel Zeit wÌ_rdest Du gerne im Durchschnitt mit Management verbringen?,
1,timeLie9zaf,"In an average month, how much time would you like to spend on teaching",,,LIKERT,likert_time_10,Y,,Y,Y,Y,Y,Y,,Y,,,,,,Wieviel Zeit wÌ_rdest Du gerne im Durchschnitt mit Lehre verbringen?,
1,timeLike10zaf,"In an average month, how much time would you like to spend on other activities",,,LIKERT,likert_time_10,Y,,Y,Y,Y,Y,Y,,Y,,,,,,Wieviel Zeit wÌ_rdest Du gerne im Durchschnitt mit anderen AktivitÌ_ten verbringen?,
2,currentEmp1,Please select your organization type,,,ONE CHOICE,type_organisation,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,Wo arbeitest Du?,Veuillez indiquer la nature de votre organisation.
2,currentEmp2,Which university do you work for?,,"(currentEmp1 = ""University"")",ONE CHOICE,universities,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,,,FALSE,An welcher UniversitÌ_t arbeitest Du?,
2,currentEmp20de,Which Fraunhofer institute do you work for?,,"(currentEmp1 = ""Fraunhofer Society"")",ONE CHOICE,fraunhofer_de,Y,,,,,,,,,Y,Y,,,FALSE,An welchem Fraunhofer-Institut arbeitest Du?,
2,currentEmp21de,Which Helmholtz institute do you work for?,,"(currentEmp1 = ""Helmholtz Association of German Research Centres"")",ONE CHOICE,hgf_de,Y,,,,,,,,,Y,Y,,,FALSE,An welchem Helmholtz-Institut arbeitest Du?,
2,currentEmp22de,Which Leibniz institute do you work for?,,"(currentEmp1 = ""Leibniz Association"")",ONE CHOICE,leibniz_de,Y,,,,,,,,,Y,Y,,,FALSE,An welchem Leibniz-Institut arbeitest Du?,
2,currentEmp23de,Which Max-Planck institute do you work for?,,"(currentEmp1 = ""Max Planck Society"")",ONE CHOICE,mpg_de,Y,,,,,,,,,Y,Y,,,FALSE,An welchem Max-Planck-Institut arbeitest Du?,
2,currentEmp24de,Which University of Applied Sciences?,,"(currentEmp1 = ""University of Applied Sciences"")",ONE CHOICE,fh_de,Y,,,,,,,,,Y,Y,,,FALSE,An welcher Fachhochschule arbeitest Du?,
2,currentEmp5,What is your official job title?,,,FREETEXT,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,FALSE,Wie ist Deine offizielle Stellenbezeichnung (Job Title)?,Quel est le titre officiel de votre poste?
2,currentEmp6,"Are you known in your group by a different job title? If so, please enter the job title you use",,,FREETEXT,,Y,Y,Y,Y,Y,Y,Y,,Y,,,,,FALSE,"Bist Du innerhalb Deiner Gruppe unter einer anderer Stellenbezeichung bekannt? Wenn ja, wie heiÌÙt diese?",
2,currentEmp12,Do you work full time or part time,,,ONE CHOICE,type_hours,Y,Y,Y,Y,Y,Y,Y,,Y,,,,,,Bist Du Vollzeit oder Teilzeit beschÌ_ftigt?,
2,currentEmp10,What is the nature of your current employment?,,,ONE CHOICE,type_contract,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,Auf welcher Art von Arbeitsvertrag bist Du beschÌ_ftigt?,Quelle est la nature de votre emploi actuel?
2,currentEmp9,When did you start your current contract?,,,DATETIME,,Y,,Y,Y,Y,Y,Y,,Y,,,,,FALSE,Welches Startdatum hat Dein jetziger Arbeitsvertrages?,
2,currentEmp11,What is the duration (in years) of your current contract?,,,FREENUMERIC,,Y,Y,Y,Y,Y,Y,Y,,Y,,,,,,Welche Dauer (in Jahren) hat Dein jetziger Arbeitsvertrag?,
2,currentEmp13,Please select the discipline in which you work. Please select all that apply.,,,MULTIPLE CHOICES,academic_field,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,In welchen Bereichen arbeitest Du? (wÌ_hle alle zutreffenden),Veuillez indiquer la discipline dans laquelle vous travaillez. Cocher toutes les rÌ©ponses qui s‰Ûªappliquent.
3,prevEmp1,Where was your previous job based?,,,ONE CHOICE,type_organisation,Y,,Y,Y,Y,Y,Y,,Y,Y,,,,,Wo hast Du in Deinem vorherigem Job gearbeitet?,
3,prevEmp2,Rank the following factors dependent on how strongly they influenced your decision to accept your current position,,,Ranking,decision_job,Y,,Y,Y,Y,Y,Y,,Y,,,,,,"Ordne die folgenden Faktoren dem EinfluÌÙ nach an, den sie auf Deinen EntschluÌÙ, Deine jetzige Position anzutreten, hatten.",
4,currentWork1,"Do you always work with the same researchers, or do you regularly change the researchers you work with? ",,,ONE CHOICE,work_researchers,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,Arbeitest Du regelmÌ_ssig mit den selben Wissenschaftlern oder arbeitest Du oft mit bzw. fÌ_r verschiedene Wissenschaftler?,Travaillez-vous toujours avec le ou les mÌ»mes chercheurs ou les chercheurs avec lesquels vous travaillez changent-ils frÌ©quemment? 
4,currentWork2,Are you part of a dedicated research software group within your institution?,,,Y/N/NA,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,Arbeitest Du in einer Gruppe,Ì_tes-vous membre d‰Ûªune Ì©quipe dont le seul but est de crÌ©er des logiciels scientifiques ÌÊ votre institution?
4,paper2mod,"In general, when your software contributes to a paper, are you acknowledged in that paper?",,,ONE CHOICE,paper,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,"Wenn deine Software zu einer Publikation beigetrÌ_gst, wirst Du dafÌ_r normalerweise namentlich in der Publikation erwÌ_hnt bzw. zitiert?","En gÌ©nÌ©ral, les articles mentionnent-ils votre participation quand votre logiciel a concouru ÌÊ la publication de rÌ©sultats scientifiques dans un pÌ©riodique?"
4,conf1can,Have you presented your software work at a conference or workshop?,,,Y/N/NA,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,Hast Du Deine software-bezogene Arbeit schon mal auf einer Konferenz oder einem Workshop vorgestellt?,Avez-vous dÌ©jÌÊ prÌ©sentÌ© votre travail de dÌ©veloppement lors d‰Ûªun colloque ou un atelier?
4,conf2can,At which conference(s)/workshop(s) have you presented your software work?,,"(conf2can = ""Yes"")",FREETEXT,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,"Auf welcher Konferenz oder auf welchem Workshop hast Du Deine software-bezogene Arbeit vorgestellt? (Gib Deine Antworten bitte als Komma separierte Liste ein, z.B. NAME (ABKÌÏRZUNG), ABKÌÏRZUNG, ...)",Dans quel(s) colloque(s) ou atelier(s) avez-vous prÌ©sentÌ© votre travail de dÌ©veloppement?
4,proj1can,How many software projects are you currently involved in?,,,FREENUMERIC,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,In wie vielen Softwareprojekten bis Du derzeit direkt involviert?,ÌÛ combien de projets de dÌ©veloppement participez-vous prÌ©sentement?
4,proj2can,How many software developers typically work on your projects?,,,FREENUMERIC,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,Wieviele Entwickler arbieten typischerweise an Deinen Softwareprojekten?,Combien de dÌ©veloppeurs travaillent-ils habituellement sur vos projets?
4,proj7can,What percentage of these developers are dedicated to the project full time?,,,FREENUMERIC,,,,,,,,,Y,Y,,,,,,,Quel proportion de ces dÌ©veloppeurs concentrent-ils tout leur temps au projet?
4,proj8can,Do your research software projects typically include a project manager?,,,Y/N/NA,,,,,,,,,Y,Y,,,,,,,Vos projets de logiciels scientifiques sont-ils habituellement encadrÌ©s par un gestionnaire?
4,stability1,What is the bus factor of your most important software project?,,,FREENUMERIC,,Y,Y,Y,Y,Y,Y,Y,,Y,,,,,,"Wie hoch ist der Busfaktor Deines wichtigsten Softwareprojektes? (Der Busfaktor gibt die Anzahl von Mitarbeitern oder Teammitgliedern an, die plÌ¦tzlich in einem Projekt ausfallen kÌ¦nnen, so dass das Projekt aufgrund fehlender Knowhow-TrÌ_ger und SchlÌ_sselpersonen stehenbleibt bzw. stirbt.)",
4,stability2,Do the projects you work on typically have a plan to cope with developers leaving the group?,,,Y/N/NA,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,"Haben die Projekte, an denen Du arbeitest, in der Regel einen Plan, um mit dem Ausscheiden bzw. Wechsel von Entwicklern umzugehen?",Les projets sur lesquels vous travaillez habituellement ont-ils un plan pour remÌ©dier au dÌ©part inopinÌ© d‰Ûªun dÌ©veloppeur de l‰ÛªÌ©quipe?
4,proj4can,How are your projects typically tested? Please check all that apply.,,,MULTIPLE CHOICES,testing,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,Welche Art von Tests wendest Du im allgemeinen auf Deine Software an? (wÌ_hle alle zutreffenden),De quelle maniÌ¬re les projets sont-ils habituellement testÌ©s? Cochez toutes les rÌ©ponses qui s‰Ûªappliquent. 
4,proj5can,What development methodology does your current project use?,,,ONE CHOICE,methodology,,,,,,,,Y,Y,,Y,,,,,Quelle mÌ©thode de dÌ©veloppement votre projet actuel utilise-t-il?
4,open1can,How often do you use an open-source licence for your software?,,,LIKERT,likert_time_10,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,"Wie oft verÌ¦ffentlichst Du Software(-projekte), an denen Du mitgearbeitet hast, unter einer Open-Source-Lizenz?",
4,open2de,How often do you reference software directly or the papers describing the software?,,,LIKERT,likert_time_10,Y,Y,Y,Y,Y,Y,Y,,Y,,,,,,Wie oft referenzierst Du die Software selbst oder das beschreibende Paper?,
4,open3can,How often do you associate your software with a Digital Object Identifier (DOI)? ,,,LIKERT,likert_time_10,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,Wie oft weist Du Deiner Software DOIs (Digital Object Identifier) zu,ÌÛ quelle frÌ©quence associez-vous un identifiant d‰Ûªobjet numÌ©rique (DOI) ÌÊ vos logiciels? 
4,open3de,"Which tools do you use to mint a DOI (e.g. local library, Zenodo)?",,,FREETEXT,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,"Welche Werkzeuge nutzt Du, um DOIs zuzuweisen (z. Bsp. Bibliothek vor Ort, Zenodo)?","Quels outils (infrastructure) utilisez-vous quand vous attribuez un DOI ÌÊ votre logiciel (par ex., bibliothÌ¬que locale, Zenodo)?"
4,open1de,Do you have an ORCID ID?,,,Y/N/NA,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,Hast Du eine ORCID ID?,Avez-vous un identifiant ORCID ID?
4,proj5zaf,Which version control tools do you use for software development?,,,MULTIPLE CHOICES,version_tools,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,Welche Tools zur Versionskontrolle verwendest Du fÌ_r die Softwareentwicklung?,"Quels outils, s‰Ûªil y a lieu, utilisez-vous pour suivre les versions du logiciel dÌ©veloppÌ©?"
4,proj6zaf,Which online collaboration tools and open repositories do you use for software development?,,,FREETEXT,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,Welche online-basierten Kollaborationswerkzeuge und offenen Repositorien verwendest Du fÌ_r die Softwareentwicklung?,"Quels outils de collaboration ou dÌ©pÌ«ts ouverts en ligne, s‰Ûªil y a lieu, utilisez-vous lors du dÌ©veloppement du logiciel?"
4,train2,"On average, how many times a year do you take part in providing training? ",,,FREENUMERIC,,Y,Y,Y,Y,Y,Y,Y,,Y,,,,,,Wie oft im Jahr gestaltest Du Workshops oder andere Weiterbildungen als Lehrender / Instructor?,
4,train3,"What training programs are you involved with (comma separated list, e.g., Software Carpentry, local university training, etc.) ",,"(train2 =  ""Yes"")",FREETEXT,,Y,Y,Y,Y,Y,Y,Y,,Y,,,,,,"In welchen Workshops, Weiterbildungsprogrammen o.Ì_. bist Du involviert? (Gib Deine Antworten bitte als Komma separierte Liste ein; z.B., Software Carpentry, Lehrgang an UniversitÌ_ten, etc.) ",
4,fund2,Which of the following sources are used to pay for your effort as an RSE? ,,,MULTIPLE CHOICES,funding,Y,Y,Y,Y,Y,Y,Y,,Y,,Y,,,,Welche der folgenden Quellen finanzieren Deine Arbeit als Software entwickelnder Mitarbeiter?,
4,fund1can,How is your current research software work funded?,,,ONE CHOICE,funding_can,,,,,,,,Y,,,Y,,,,,Qui finance votre travail actuel sur les logiciels scientifiques? Cocher toutes les rÌ©ponses qui s‰Ûªappliquent.
5,satisGen1,"In general, how satisfied are you with your current position",,,LIKERT,likert_satisfied_10,Y,Y,Y,Y,Y,Y,Y,,Y,,,,,,Wie bist Du mit Deiner Position insgesamt zufrieden?,
5,satisGen2,"In general, how satisfied are you with your career",,,LIKERT,likert_satisfied_10,Y,Y,Y,Y,Y,Y,Y,,Y,,,,,,Wie bist Du insgesamt mit Deiner Karriere zufrieden?,
5,recog1,Do you feel that your contribution to research is recognised by your supervisor/line manager,,,LIKERT,likert_agree,Y,,Y,Y,Y,Y,Y,,Y,,,,,,"Bist Du der Meinung, dass Dein Beitrag zur Forschung von Deinem/r  Vorgesetzten anerkannt wird?",
5,recog2,Do you feel that your contribution to research is recognised by the researchers you work with,,,LIKERT,likert_agree,Y,,Y,Y,Y,Y,Y,,Y,,,,,,"Bist Du der Meinung, dass Dein Beitrag zur Forschung von den Wissenschaftlern, mit denen Du zusammen arbeitest, anerkannt wird?",
5,recog3,Do you feel that your contribution to research is recognised by your institution?,,,LIKERT,likert_agree,Y,,Y,Y,Y,Y,Y,,Y,,,,,,"Bist Du der Meinung, dass Dein Beitrag zur Forschung von Deiner UniversitÌ_t anerkannt wird?",
5,turnOver3,How often do you consider leaving your job?,,,LIKERT,likert_time_10,Y,,Y,Y,Y,Y,Y,,Y,,,,,,"Wie oft denkst Du daran, Deinen Job an den Nagel zu hÌ_ngen?",
5,turnOver6,I would accept another job at the same compensation level if I was offered it,,,LIKERT,likert_agree,Y,,Y,Y,Y,Y,Y,,Y,,,,,,"Ich wÌ_rde einen anderen Job mit der selben Bezahlung annehmen, wenn ich ein solches Angebot bekommen wÌ_rde.",
5,percEmp1,It would not be very difficult for me to get an equivalent job in a different institution,,,LIKERT,likert_agree,Y,Y,Y,Y,Y,Y,Y,,Y,,,,,,"Es wÌ_re nicht schwer fÌ_r mich, einen Ì_hnlichen Job woanders zu bekommen.",
5,percEmp3,My experience is in demand on the labour market,,,LIKERT,likert_agree,Y,Y,Y,Y,Y,Y,Y,,Y,,,,,,Meine Erfahrung ist auf dem Arbeitsmarkt gefragt.,
5,progRSE1,It is likely that I will gain a promotion within my current group ,,,LIKERT,likert_agree,Y,Y,Y,Y,Y,Y,Y,,Y,,,,,,"Es ist wahrscheinlich, dass ich in meiner derzeitigen Arbeits-/Forschungsgruppe befÌ¦rdert werde.",
5,progRSE2,The process I have to complete to gain a promotion is clear and understandable,,,LIKERT,likert_agree,Y,Y,Y,Y,Y,Y,Y,,Y,,,,,,"Das Verfahren fÌ_r eine BefÌ¦rderung ist bekannt, klar und verstÌ_ndlich.",
5,progRSE3,There are many opportunities within my chosen career plan,,,LIKERT,likert_agree,Y,Y,Y,Y,Y,Y,Y,,Y,,,,,,Es gibt viele MÌ¦glichkeiten in dem von mir gewÌ_hlten Karriereplan.,
5,progRSE5,It is likely that my next position will be an Research Software Engineer / Research Software Developer role,,,LIKERT,likert_agree,Y,Y,Y,Y,Y,Y,Y,,Y,,,,,,"Es ist wahrscheinlich, dass ich in meiner nÌ_chsten Position als RSE tÌ_tig sein werde.",
6,socio2,Please select your gender,,,ONE CHOICE,gender,Y,Y,Y,Y,Y,Y,Y,,Y,,Y,,,,Dein Geschlecht,
6,socio5,"How would you describe your ethnic origin?  This refers to people who share the same cultural background and identity, not country of birth or nationality. ",,,MULTIPLE CHOICE,ethnicity,,,Y,Y,,,,,,Y,Y,,,,,
6,socio5us,Do you consider yourself Hispanic or Latino,,,ONE CHOICE,latino,,,,Y,,,,,,Y,,,,,,
6,disa1,Do you have a condition that is defined as a disability by your country?,,,Y/N/NA,,,,Y,,,,,,,,,,,,,
6,socio3,Please select your age,,,ONE CHOICE,age,Y,Y,Y,Y,Y,Y,Y,,Y,,,,,,Dein Alter,
6,ukrse1,Are you a member of an association of Research Software Developers (e.g. UK RSE)?,,,Y/N/NA,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,"Bist Du Mitglied in einem Verband von Research Software Engineers (z. B. UK RSE, de-RSE, NL-RSE)?","Faites-vous partie d‰Ûªune association de dÌ©veloppeurs de logiciels scientifiques (par ex., la RSE du R.-U.)?"
6,org1can,Would you be interested in joining such an organisation?,,,Y/N/NA,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,"Bist Du daran interessiert, einer solchen Organisation beizutreten?",Aimeriez-vous Ì»tre membre d‰Ûªune telle organisation si on en crÌ©ait une au Canada?
6,org2can,What would you hope to get out of such an organisation (check all that apply)?,,"(org1can = ""Yes"")",MULTIPLE CHOICES,rse_benefits,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,,,,Was wÌ_rdest Du von einer solchen Organisation erwarten? (wÌ_hle alle zutreffenden),Que vous attendriez-vous ÌÊ retirer de l‰ÛªadhÌ©sion ÌÊ une telle organisation? Cocher toutes les rÌ©ponses qui s‰Ûªappliquent.
6,socio4,Please select the range of your salary,,,ONE CHOICE,salary,Y,Y,Y,Y,Y,Y,Y,,,Y,,,,FALSE,Bitte wÌ_hle Deine Gehaltsklasse aus!,
6,socio10de,Please select your renumeration group according to your collective bargaining agreement,,,ONE CHOICE,entgeltgruppe_de,Y,,,,,,,,,Y,,,,FALSE,Bitte wÌ_hle Deine Entgeltgruppe aus!,
6,socio11ausnzl,What is the category of your pay-scale?  ,,,ONE CHOICE,salary_category,,,,,,Y,Y,,,Y,,,,FALSE,,
6,socio12ausnzl,What is your pay-level?,,"(socio12ausnzl=""Academic"")",ONE CHOICE,levels_academic,,,,,,Y,Y,,,Y,,,,FALSE,,
6,socio13ausnzl,What is your pay-level?,,"(socio12ausnzl=""Professional"")",ONE CHOICE,levels_professional,,,,,,Y,Y,,,Y,,,,FALSE,,
6,tool2,Which operating system do you primarily use for development?,,,ONE CHOICE,os,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,,,,Welches Betriebssystem bevorzugst Du auf Arbeit?,Quel systÌ¬me d‰Ûªexploitation utilisez-vous principalement pour le dÌ©veloppement?
6,tool4can,What programming languages do you use at work? Please select all that apply.,,,MULTIPLE CHOICES,programming_language,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,Welche Programmiersprachen nutzt Du auf Arbeit? (wÌ_hle alle zutreffenden),Quels langages de programmation utilisez-vous au travail? Cocher toutes les rÌ©ponses qui s‰Ûªappliquent.
6,tool5can,On which platform(s) is your most recent research software project deployed? Please select all that apply.,,,MULTIPLE CHOICES,plateform,,,,,,,,Y,,Y,,,,,,Sur quelle(s) plateforme(s) votre plus rÌ©cent logiciel de recherche a-t-il Ì©tÌ© dÌ©ployÌ©? Cocher toutes les rÌ©ponses qui s‰Ûªappliquent.
6,ukrse3,How did you learn the skills you need to become an Research Software Engineer / Research Software Developer? ,,,FREETEXT,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,"Wie hast Du Dir die FÌ_higkeiten angeeignet bzw. wie bist Du zu den FÌ_higkeiten gekommen, um Software im wissenschaftlichen Umfeld zu entwickeln?",Comment avez-vous acquis les compÌ©tences requises pour devenir dÌ©veloppeur de logiciels scientifiques?
6,ukrse12de,Would you like to attend a conference about software development in academia?,,,Y/N/NA,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,WÌ_rdest Du gern eine Konferenz Ì_ber Softwareentwicklung in der Wissenschaft besuchen?,Aimeriez-vous assister ÌÊ un colloque sur le dÌ©veloppement de logiciels dans les universitÌ©s?
6,skill2,What three skills would you like to acquire or improve to help your work as a Research Software Engineer/ Research Software Developer? The skills can be technical and non-technical.,,,FREETEXT,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,"Welche drei FÌ_higkeiten, die Dir bei der Arbeit in Bezug auf Sofwareentwicklung hilfreich sind, wÌ_rdest Du gern erwerben oder vertiefen? Dies kÌ¦nnen technische oder nicht-technische FÌ_higkeiten sein.",Nommez les trois compÌ©tences que vous aimeriez acquÌ©rir ou perfectionner pour vous aider dans le dÌ©veloppement de logiciels de recherche. Ces compÌ©tences peuvent Ì»tre de nature technique ou pas.
